{adid},{idfa},{android_id},{idfv},{gps_adid},{tracker_name},{is_organic},{created_at},{network_name},{campaign_name},{adgroup_name},{creative_name},{revenue_usd},{uninstalled_at},{last_session_time}
,,,,,Speakol::VIP Baloot_I_AppInstall_SA::1399_SA_XX_XX_Broad,,1600692861,Speakol,VIP Baloot_I_AppInstall_SA,1399_SA_XX_XX_Broad,,,,
,,,,,SC RE::VIP_Baloot_I_M_RE,,1600692861,SC RE,VIP_Baloot_I_M_RE,,,,,
1ac41b3907761eba0a8caee313fd0218,15218DA7-F266-40B1-A3F5-0D3F161A5B0C,,F744B91A-C688-4168-A59C-FF215BEA8C38,,Organic,1,1600692832,Organic,,,,,,1600681055
c9a3bf2b43280734dedc6fb72cc43c06,9D6B0BCC-C3D1-47DE-B0AA-960E6149DCC7,,815B2A23-5120-41B6-9974-BBB4904C10EA,,Apple Search Ads::Baloot - KSA (376267059)::Competition (376355499)::لودو ستار (415805803),0,1600692832,Apple Search Ads,Baloot - KSA (376267059),Competition (376355499),لودو ستار (415805803),,,1600652694
ce3b98fa1ed8cee948164372486479c5,62C933B3-5E13-4BC5-950C-3861A93CF4B7,,BBC04277-8359-4912-BFCD-719C5BE0E2FC,,Organic,1,1600692831,Organic,,,,,,1600651438
fc3c8f9e81c6ec4a80e26dcc756162ae,5FD4DFFE-1FCF-497E-A166-2FEE9ECFB275,,83ED9D34-2158-4F52-8B0C-8FB3F60B58EC,,Organic,1,1600692832,Organic,,,,,,1600635824
6a4477182196085739e87b05794f8057,DEFD3305-A616-4615-A8F4-7991E3D19F4D,,1B0C9BBB-40AB-4B27-A3DF-00755317FF6C,,Off-Facebook Installs::Expired Attributions,0,1600692832,Off-Facebook Installs,Expired Attributions,,,,,1600636470
eb85434fb350a3a9b0652f2f28d727b1,,,,9542f4df-b423-4a10-b94a-2b690efda94d,Imported Devices,0,1600692833,Imported Devices,,,,,,1600630549
719a4e801208007ff019ca280ad74423,CCF0C898-39D9-4C0B-B4FC-5EADB55AEDDC,,89DBA010-DE68-495A-98A5-3A995F8E10D7,,Organic,1,1600692833,Organic,,,,,,1600682110
b7ed64f1e3f10e04b28808783a2e1fee,,,,24bbbf5e-d04f-44e6-a3ea-0a69244db165,Organic,1,1600692832,Organic,,,,,,1600689346
,,,,,SC RE::VIP_Baloot_I_M_RE,,1600692863,SC RE,VIP_Baloot_I_M_RE,,,,,
,,,,,SC RE::VIP_Baloot_I_M_RE,,1600692863,SC RE,VIP_Baloot_I_M_RE,,,,,
28d80b4e0a1c911c409f6ff594d91a0d,,,,94f3158d-7d0e-40f9-af36-05ac73a192f8,referralBaloot,0,1600692833,referralBaloot,,,,,,1600677450
,,,,,SC RE::VIP_Baloot_I_M_RE,,1600692864,SC RE,VIP_Baloot_I_M_RE,,,,,
,,,,,SC RE::VIP_Baloot_I_M_RE,,1600692864,SC RE,VIP_Baloot_I_M_RE,,,,,
2be8732602d6e4da217a8ba50cff79e8,8672C154-48BA-4298-A554-1C5BDB2DD34A,,CCF16BFF-5B6A-4B4F-BF17-284BF3FC7571,,Apple Search Ads::Baloot - KSA (376267059)::Brand (376369782)::بلوت vip (376369823),0,1600692836,Apple Search Ads,Baloot - KSA (376267059),Brand (376369782),بلوت vip (376369823),,,1600689967
,,,,,SC RE::VIP_Baloot_I_M_RE,,1600692866,SC RE,VIP_Baloot_I_M_RE,,,,,
f7ed91d2d2d4ec147942a04c6a4c57f1,9485FEA4-4178-4CCF-B320-8087B3CC162B,,238AF6D6-A6CA-4215-808F-1195076D5AEE,,Snapchat Installs::VIP Baloot_AppPurchases (8a9cfd94-83d6-4b40-bcba-7905188b6f1f)::iOS_1399_SAXX_XX_Purchase (2a099b70-c6c5-4e34-a179-55f76406a8f9)::Ziyad (2) - iOS (890c4bd4-4f3c-44d7-9073-1b43ef528b02),0,1600692836,Snapchat Installs,VIP Baloot_AppPurchases (8a9cfd94-83d6-4b40-bcba-7905188b6f1f),iOS_1399_SAXX_XX_Purchase (2a099b70-c6c5-4e34-a179-55f76406a8f9),Ziyad (2) - iOS (890c4bd4-4f3c-44d7-9073-1b43ef528b02),,,1600682141
,,,,,SC RE::VIP_Baloot_I_M_RE,,1600692866,SC RE,VIP_Baloot_I_M_RE,,,,,
9aa4c532161f4574d98f14aab12f9026,12C9F50D-7097-4998-B139-BB5D38CFDA64,,3D6B5371-7888-45A3-8682-64DB39EE5527,,Organic,1,1600692837,Organic,,,,,,1600516238
,,,,,SC RE::VIP_Baloot_I_M_RE,,1600692866,SC RE,VIP_Baloot_I_M_RE,,,,,
5968738bc59ac1e79efb3388476a5d8a,,,,6ca72dbd-89b4-41d1-a733-4ea3faee1854,Organic,1,1600692836,Organic,,,,,,1600681940
,,,,,Speakol::VIP Baloot_I_AppInstall_SA::1399_SA_XX_XX_Broad,,1600692867,Speakol,VIP Baloot_I_AppInstall_SA,1399_SA_XX_XX_Broad,,,,
,,,,,SC RE::VIP_Baloot_I_M_RE,,1600692869,SC RE,VIP_Baloot_I_M_RE,,,,,
305cb710f2b4ee1c52e62cf9d36eb3bf,E5D98CBA-F357-4652-8CC5-6A177B8F2A57,,2EB2A730-9C49-4B8B-8DF4-48885D70F2F8,,Organic,1,1600692838,Organic,,,,,,1600689544
af44422d3646d5408013815f4d962e3d,,,,6a31c395-06a9-462d-b13e-a28200e7e3f8,Organic,1,1600692839,Organic,,,,,,1600687619
8dabf9d5aabdc520b98228d78dcecb8b,76719B0E-702E-4C5F-BF3E-54ED0197D6C9,,738C9AA1-7798-493E-A752-8459A970EA12,,Organic,1,1600692838,Organic,,,,,,1600687540
,,,,,SC RE::VIP_Baloot_I_M_RE,,1600692869,SC RE,VIP_Baloot_I_M_RE,,,,,
,,,,,SC RE::VIP_Baloot_I_M_RE,,1600692869,SC RE,VIP_Baloot_I_M_RE,,,,,
,,,,,SC RE::VIP_Baloot_I_M_RE,,1600692870,SC RE,VIP_Baloot_I_M_RE,,,,,
8092f30f19a2f7d2270163e254d3f870,B4EC9F68-FF84-4EB2-BFB2-66AD37F93906,,07846CD9-55CE-44FD-B3FB-67E9A38A68BA,,Organic,1,1600692840,Organic,,,,,,1600636147
a3376ec0b95131dfe41875956be82c27,,,,b73a3840-86b1-4e2a-9566-5ca428a38a41,Organic,1,1600692838,Organic,,,,,,1600680889
5f181f969f7a9e38073fe738d8f776d1,,,,4656d4c7-4b5b-4699-932c-572dd820bcf1,Organic,1,1600692839,Organic,,,,,,
,,,,,Speakol::VIP Baloot_I_AppInstall_SA::1399_SA_XX_XX_Broad,,1600692870,Speakol,VIP Baloot_I_AppInstall_SA,1399_SA_XX_XX_Broad,,,,
a4fc23e86283a92a9095031bae7b2ca5,4A9E907D-E0B3-4F78-AC4A-00ED8CCFC479,,D70B1137-95EB-483C-AD19-06B95BCF1658,,Imported Devices,0,1600692840,Imported Devices,,,,,,1600688145
9d93e74e2145787a14c611e25226bebf,6805664C-E658-4701-AD60-A5FF93D973F6,,313E5694-C3B8-460F-833E-46A0C0EC99A5,,Organic,1,1600692841,Organic,,,,,,1600638581
d0e40a5a3e672943e16440a4aab0a1da,8B2AD062-B3EB-4AE4-AA41-22A35AE585A6,,B7CE3DFC-8918-4956-963B-97D91F176D9A,,Organic,1,1600692842,Organic,,,,,,1600690214
,,,,,SC RE::VIP_Baloot_I_M_RE,,1600692872,SC RE,VIP_Baloot_I_M_RE,,,,,
,,,,,SC RE::VIP_Baloot_I_M_RE,,1600692873,SC RE,VIP_Baloot_I_M_RE,,,,,
,,,,,SC RE::VIP_Baloot_I_M_RE,,1600692873,SC RE,VIP_Baloot_I_M_RE,,,,,
,,,,,SC RE::VIP_Baloot_I_M_RE,,1600692873,SC RE,VIP_Baloot_I_M_RE,,,,,
,,,,,SC RE::VIP_Baloot_I_M_RE,,1600692874,SC RE,VIP_Baloot_I_M_RE,,,,,
b211b7cb2289f8cc55fd6a10a95e98fd,FCF8E91F-38C0-49BA-BD7B-E68AFF20627E,,DEAEEB7F-0223-43F4-A0D3-D2F1E04C7B1F,,Snapchat Installs::Expired Attributions,0,1600692846,Snapchat Installs,Expired Attributions,,,,,1600633262
998d0a3f96e8f4d5429ed2bcf743e76d,86F77EAE-3456-4789-AAF5-9E5FFD3FBA50,,A4F0C0AE-A042-4A0A-B7EC-652EAA790595,,Organic,1,1600692846,Organic,,,,,,1600629238
